P_Strain_%,Load_Cycle_N,dS_psi,SSR
0.17,1,16.03,0.25
0.32,41,16.19,0.26
0.35,81,16.11,0.26
0.37,121,16.27,0.26
0.38,161,16.11,0.26
0.39,201,16.11,0.25
0.39,241,16.19,0.26
0.4,281,16.19,0.26
0.4,321,16.11,0.26
0.41,361,16.19,0.26
0.41,401,16.11,0.26
0.42,441,16.11,0.26
0.42,481,16.03,0.25
0.42,521,16.03,0.25
0.42,561,16.11,0.26
0.43,601,16.11,0.26
0.43,641,16.11,0.26
0.43,681,16.19,0.26
0.43,721,16.03,0.25
0.44,761,16.03,0.25
0.44,801,16.03,0.25
0.44,841,16.27,0.26
0.44,881,16.11,0.26
0.44,921,16.19,0.26
0.44,961,16.03,0.25
0.44,1001,16.27,0.26
0.45,1041,16.11,0.26
0.45,1081,16.11,0.25
0.45,1121,16.03,0.25
0.45,1161,16.11,0.26
0.45,1201,16.11,0.26
0.45,1241,16.19,0.26
0.45,1281,16.03,0.25
0.46,1321,16.11,0.26
0.46,1361,16.19,0.26
0.46,1401,16.27,0.26
0.46,1441,16.19,0.26
0.46,1481,16.11,0.26
0.46,1521,15.95,0.25
0.46,1561,16.11,0.26
0.46,1601,16.03,0.25
0.46,1641,16.35,0.26
0.46,1681,16.19,0.26
0.46,1721,16.11,0.26
0.47,1761,16.03,0.25
0.46,1801,16.03,0.25
0.47,1841,16.11,0.26
0.47,1881,16.11,0.26
0.47,1921,16.11,0.26
0.47,1961,16.03,0.25
0.47,2001,16.11,0.26
0.47,2041,16.03,0.25
0.47,2081,16.11,0.26
0.47,2121,16.19,0.26
0.47,2161,16.03,0.25
0.47,2201,16.11,0.26
0.47,2241,16.11,0.26
0.47,2281,16.11,0.26
0.47,2321,16.03,0.25
0.47,2361,16.03,0.25
0.48,2401,16.03,0.25
0.48,2441,16.19,0.26
0.48,2481,16.11,0.26
0.48,2521,16.03,0.25
0.48,2561,16.19,0.26
0.48,2601,16.19,0.26
0.48,2641,16.11,0.26
0.48,2681,16.03,0.25
0.48,2721,16.11,0.26
0.48,2761,16.19,0.26
0.48,2801,16.03,0.25
0.48,2841,16.19,0.26
0.48,2881,16.11,0.26
0.48,2921,16.11,0.26
0.48,2961,16.11,0.26
0.48,3001,16.11,0.26
0.48,3041,16.11,0.25
0.48,3081,16.11,0.26
0.48,3121,16.19,0.26
0.49,3161,16.11,0.26
0.49,3201,16.11,0.25
0.49,3241,16.03,0.25
0.49,3281,16.11,0.26
0.49,3321,16.11,0.26
0.49,3361,16.03,0.25
0.49,3401,16.11,0.26
0.49,3441,16.11,0.26
0.49,3481,16.11,0.26
0.49,3521,16.11,0.26
0.49,3561,16.19,0.26
0.49,3601,16.19,0.26
0.49,3641,15.95,0.25
0.49,3681,16.11,0.26
0.49,3721,16.11,0.26
0.49,3761,15.95,0.25
0.49,3801,16.03,0.25
0.49,3841,16.11,0.26
0.49,3881,16.19,0.26
0.49,3921,16.19,0.26
0.49,3961,16.11,0.26
0.49,4001,16.11,0.26
0.49,4041,16.19,0.26
0.49,4081,16.19,0.26
0.49,4121,16.11,0.26
0.49,4161,16.03,0.25
0.49,4201,16.11,0.26
0.49,4241,16.11,0.26
0.49,4281,16.19,0.26
0.49,4321,16.03,0.25
0.5,4361,16.27,0.26
0.5,4401,16.11,0.26
0.5,4441,16.11,0.26
0.5,4481,16.03,0.25
0.5,4521,16.19,0.26
0.5,4561,15.95,0.25
0.5,4601,15.95,0.25
0.5,4641,16.03,0.25
0.5,4681,16.11,0.26
0.5,4721,16.03,0.25
0.5,4761,16.11,0.25
0.5,4801,16.11,0.26
0.5,4841,16.11,0.26
0.5,4881,16.27,0.26
0.5,4921,16.11,0.26
0.5,4961,16.03,0.25
0.5,5001,16.19,0.26
0.5,5041,16.03,0.25
0.5,5081,16.03,0.25
0.5,5121,16.03,0.25
0.5,5161,16.11,0.26
0.5,5201,16.11,0.26
0.5,5241,16.11,0.26
0.5,5281,16.03,0.25
0.5,5321,16.03,0.25
0.5,5361,16.19,0.26
0.5,5401,16.11,0.26
0.5,5441,15.95,0.25
0.5,5481,16.19,0.26
0.5,5521,16.03,0.25
0.5,5561,16.11,0.26
0.5,5601,16.11,0.26
0.5,5641,16.11,0.26
0.5,5681,16.27,0.26
0.5,5721,16.11,0.26
0.51,5761,16.03,0.25
0.51,5801,16.03,0.25
0.51,5841,16.03,0.25
0.51,5881,16.03,0.25
0.51,5921,16.03,0.25
0.51,5961,16.03,0.25
0.51,6001,16.03,0.25
0.51,6041,16.11,0.26
0.51,6081,16.03,0.25
0.51,6121,16.11,0.26
0.51,6161,16.11,0.26
0.51,6201,16.19,0.26
0.51,6241,16.03,0.25
0.51,6281,16.11,0.26
0.51,6321,16.11,0.26
0.51,6361,16.19,0.26
0.51,6401,16.03,0.25
0.51,6441,16.11,0.26
0.51,6481,16.11,0.26
0.51,6521,16.11,0.26
0.51,6561,16.11,0.26
0.51,6601,15.95,0.25
0.51,6641,16.11,0.26
0.51,6681,16.11,0.25
0.51,6721,16.11,0.25
0.51,6761,16.11,0.26
0.51,6801,16.11,0.26
0.51,6841,16.03,0.25
0.51,6881,16.11,0.25
0.51,6921,16.03,0.25
0.51,6961,16.03,0.25
0.51,7001,16.11,0.26
0.51,7041,16.03,0.25
0.51,7081,16.19,0.26
0.51,7121,16.11,0.26
0.51,7161,16.11,0.26
0.51,7201,16.11,0.26
0.51,7241,16.11,0.26
0.51,7281,16.03,0.25
0.51,7321,16.19,0.26
0.51,7361,16.11,0.26
0.51,7401,16.19,0.26
0.51,7441,16.03,0.25
0.51,7481,16.11,0.26
0.51,7521,16.11,0.26
0.51,7561,16.11,0.26
0.51,7601,16.11,0.26
0.51,7641,16.19,0.26
0.51,7681,16.11,0.26
0.51,7721,16.19,0.26
0.51,7761,16.11,0.26
0.51,7801,16.11,0.26
0.51,7841,16.03,0.25
0.52,7881,16.03,0.25
0.52,7921,16.11,0.26
0.52,7961,15.95,0.25
0.52,8001,16.03,0.25
0.52,8041,16.11,0.26
0.52,8081,16.11,0.25
0.52,8121,16.11,0.25
0.52,8161,16.19,0.26
0.52,8201,16.19,0.26
0.52,8241,16.19,0.26
0.52,8281,16.11,0.26
0.52,8321,16.03,0.25
0.52,8361,16.11,0.26
0.52,8401,16.11,0.26
0.52,8441,16.19,0.26
0.52,8481,16.03,0.25
0.52,8521,16.03,0.25
0.52,8561,16.19,0.26
0.52,8601,16.19,0.26
0.52,8641,16.03,0.25
0.52,8681,15.95,0.25
0.52,8721,16.03,0.25
0.52,8761,16.11,0.26
0.52,8801,16.03,0.25
0.52,8841,16.03,0.25
0.52,8881,16.03,0.25
0.52,8921,16.19,0.26
0.52,8961,16.19,0.26
0.52,9001,16.19,0.26
0.52,9041,15.95,0.25
0.52,9081,16.11,0.26
0.52,9121,16.11,0.26
0.52,9161,16.03,0.25
0.52,9201,16.03,0.25
0.52,9241,16.11,0.26
0.52,9281,16.11,0.26
0.52,9321,16.19,0.26
0.52,9361,16.11,0.26
0.52,9401,16.11,0.26
0.52,9441,16.19,0.26
0.52,9481,16.11,0.26
0.52,9521,16.03,0.25
0.52,9561,16.03,0.25
0.52,9601,16.19,0.26
0.52,9641,16.11,0.26
0.52,9681,16.11,0.25
0.52,9721,16.11,0.26
0.52,9761,16.11,0.26
0.52,9801,16.11,0.26
0.52,9841,16.19,0.26
0.52,9881,16.11,0.26
0.52,9921,16.19,0.26
0.52,9961,16.19,0.26
0.52,9996,16.03,0.25
